volume_id,company_id,date,buy_volume,sell_volume,net_volume
635036,1250,09-12-2022,30143,46161,-16018
695138,2623,21-11-2022,78893,84608,-5715
887160,5705,21-03-2024,69359,95792,-26433
966339,5459,12-07-2022,42210,93845,-51635
579372,2251,17-07-2023,60751,51364,9387
156011,1785,25-05-2022,4907,77823,-72916
171834,5986,27-10-2021,73885,82142,-8257
621460,5158,23-09-2022,9983,12009,-2026
489010,8976,10-01-2023,87829,59836,27993
279710,1176,08-09-2022,54575,22843,31732
746077,1807,11-06-2023,80738,20165,60573
893267,9535,18-04-2024,94005,93141,864
460986,9207,15-12-2022,20357,39174,-18817
196252,6726,25-05-2022,56583,29105,27478
577521,1118,21-02-2022,20582,30434,-9852
518635,1208,02-05-2022,74939,78843,-3904
492986,2711,23-07-2024,1637,56007,-54370
134425,4735,14-08-2022,18394,47666,-29272
136887,7771,28-03-2022,46378,82786,-36408
850188,2937,08-06-2023,49637,1439,48198
113713,8800,26-10-2021,3775,71461,-67686
648267,2902,03-07-2022,61977,62733,-756
258841,8800,09-04-2023,9716,61064,-51348
792072,9322,26-08-2022,36036,61608,-25572
560951,6083,13-01-2024,93327,47246,46081
821847,9901,23-12-2022,65378,69713,-4335
824597,6563,06-01-2022,92255,78192,14063
686920,6663,03-12-2022,96868,43561,53307
932597,2672,02-12-2022,92591,53784,38807
315757,3292,01-08-2022,26729,55848,-29119
813792,4237,30-05-2022,11814,85698,-73884
289019,8011,02-04-2023,24145,12822,11323
333692,3832,24-07-2024,37727,73442,-35715
358195,4663,16-02-2024,96089,57449,38640
326770,8351,12-12-2023,18244,63994,-45750
443290,7204,09-05-2024,13793,84271,-70478
247842,3776,14-08-2022,85241,32421,52820
393407,2476,03-05-2024,24243,11887,12356
772923,5916,17-03-2024,72685,56575,16110
793546,5240,24-07-2022,7185,71165,-63980
375456,7166,02-02-2023,9015,62325,-53310
274812,9672,24-05-2024,72569,90916,-18347
697158,6685,29-07-2023,55877,11227,44650
111930,1948,05-04-2024,4049,9349,-5300
374677,9010,03-04-2024,23178,49049,-25871
720841,5814,16-09-2023,12384,42551,-30167
698205,3292,12-07-2022,93487,71948,21539
141135,9943,07-07-2024,69433,42864,26569
276219,9441,13-07-2024,15509,7752,7757
339146,8725,07-12-2023,36307,26583,9724
940402,3267,07-01-2022,27499,94651,-67152
655663,4947,20-01-2022,7881,47965,-40084
696541,4243,19-06-2023,75754,79172,-3418
212876,8968,14-07-2024,60774,7804,52970
326480,9223,03-05-2023,29059,15453,13606
166994,6690,16-06-2024,11234,90098,-78864
479989,2821,09-06-2022,86048,19089,66959
643418,2991,23-12-2021,33927,50808,-16881
755886,2045,30-03-2024,25749,63308,-37559
708799,9981,15-10-2023,39759,59952,-20193
469230,6371,06-06-2023,11052,61892,-50840
711989,8740,15-12-2022,33902,54464,-20562
958121,6280,30-01-2022,51471,1257,50214
862120,3721,13-10-2022,33430,59752,-26322
669572,7152,24-03-2024,79912,88828,-8916
940233,4595,17-03-2024,92984,53579,39405
168650,7264,02-11-2023,65767,71131,-5364
194999,4399,08-09-2024,30200,52567,-22367
657599,2623,07-03-2024,54249,17715,36534
169084,1768,28-02-2022,36728,7612,29116
609608,7152,31-12-2023,33936,44697,-10761
207324,9596,04-06-2023,43503,86169,-42666
299014,1227,22-05-2022,40188,93178,-52990
438204,7403,05-11-2023,38167,39126,-959
387230,4367,30-09-2021,62091,95631,-33540
246758,9865,21-10-2021,33022,8143,24879
521124,3572,14-04-2024,11696,69815,-58119
523839,2011,28-10-2021,24736,20959,3777
170029,7501,26-02-2023,51576,15260,36316
198870,1977,08-04-2023,89914,24146,65768
957012,9951,23-05-2023,18717,17215,1502
121667,2011,11-03-2023,70174,91632,-21458
543819,6016,22-04-2024,27197,52430,-25233
964049,1496,12-12-2021,49620,95741,-46121
359014,1807,22-02-2023,51562,23106,28456
960221,5157,28-05-2024,14540,60751,-46211
819221,1103,04-06-2023,46573,34777,11796
128090,6965,21-06-2022,86586,4772,81814
990940,2013,25-02-2024,26193,43966,-17773
247813,8702,14-05-2024,68080,60457,7623
241050,8011,05-04-2023,6474,38091,-31617
457161,6324,28-12-2022,74137,13590,60547
122449,1767,19-10-2022,35296,3207,32089
213853,6023,16-01-2022,19663,67571,-47908
375631,9010,15-06-2022,61473,93138,-31665
553183,9317,28-04-2024,69066,7860,61206
454435,1882,13-05-2023,32640,66070,-33430
618801,2821,16-02-2022,35292,39035,-3743
723604,5957,23-04-2022,12472,82572,-70100
107989,3450,14-11-2023,93322,6442,86880
369044,1496,08-10-2022,31038,69367,-38329
104989,1082,18-11-2021,78091,87930,-9839
806244,7662,17-02-2024,7493,8227,-734
629845,3572,25-04-2023,93791,95181,-1390
513441,6290,30-06-2024,49948,7183,42765
595845,4896,11-06-2024,16306,75999,-59693
983538,4900,29-09-2021,88414,61905,26509
844638,8483,30-07-2024,23272,35004,-11732
892630,2013,25-10-2023,8245,93676,-85431
913824,5953,24-12-2022,15276,71130,-55854
601190,9082,05-09-2024,9634,54715,-45081
287776,3030,20-07-2022,44646,39645,5001
989383,7680,27-06-2024,67884,24655,43229
483942,2139,19-06-2023,63003,83578,-20575
285227,2556,06-05-2022,47433,88184,-40751
714184,2984,17-11-2021,7315,90055,-82740
538247,7403,07-04-2023,11365,72573,-61208
760906,9441,20-08-2023,17355,57528,-40173
730895,1566,06-10-2023,69758,11944,57814
741280,1496,12-07-2022,51470,36720,14750
666794,4574,04-02-2023,69315,37336,31979
299662,2476,04-07-2023,6299,47401,-41102
296471,9865,25-04-2022,30192,19262,10930
309911,9619,28-02-2022,37401,93871,-56470
662367,8350,24-04-2022,99397,93598,5799
500465,8925,05-09-2024,53104,10687,42417
609300,7225,23-11-2022,50336,97759,-47423
598000,8166,04-08-2022,86343,41427,44916
548750,9478,13-04-2022,30708,91778,-61070
251357,9116,17-02-2022,38250,13768,24482
773575,4107,12-10-2023,26761,82890,-56129
770906,4461,15-08-2024,91405,53649,37756
932660,8968,02-10-2022,3233,21608,-18375
885792,9743,19-03-2023,86735,90342,-3607
202657,5322,08-11-2022,84759,45674,39085
662433,9787,11-04-2023,81233,92660,-11427
429292,4261,25-03-2024,78588,38368,40220
497150,5953,19-06-2024,69036,86765,-17729
151786,1537,01-07-2024,87701,61649,26052
270415,1566,28-11-2021,82532,3041,79491
931512,2991,21-07-2022,44467,41657,2810
255145,8800,11-05-2022,55961,28118,27843
822841,3692,13-01-2023,62972,86703,-23731
843979,8442,11-02-2023,99401,62125,37276
686874,9248,20-12-2022,78308,18856,59452
598691,4241,23-01-2023,20532,21893,-1361
951749,7330,27-11-2022,95367,61055,34312
866432,4084,02-04-2023,81880,93236,-11356
779381,3326,01-08-2022,56502,43551,12951
894998,7401,09-06-2024,64167,61245,2922
630501,1977,24-08-2024,60770,47757,13013
520715,5575,09-04-2022,45275,16639,28636
174715,4465,04-03-2022,31787,81228,-49441
964297,9023,19-12-2022,35349,22624,12725
248639,7225,13-11-2021,30666,87077,-56411
731849,1118,25-01-2024,80629,76675,3954
614426,1537,07-08-2023,57612,7871,49741
551476,7264,06-01-2022,47064,54763,-7699
312569,6290,15-01-2022,75845,67121,8724
392604,8442,08-11-2023,37333,71584,-34251
226293,4950,03-09-2022,95618,25656,69962
340313,8036,20-08-2024,27083,46257,-19174
543978,1396,03-04-2023,28807,4816,23991
609249,4595,25-02-2023,17716,97403,-79687
100738,5604,09-02-2022,31834,21048,10786
597535,5126,15-02-2023,90521,32357,58164
114594,4574,07-05-2022,56138,47320,8818
705210,9903,29-05-2023,27989,14521,13468
192859,8036,03-11-2023,43185,43614,-429
334705,2105,30-04-2024,35211,27635,7576
101960,8442,08-09-2023,7271,45181,-37910
916357,8343,11-08-2023,87200,86266,934
336914,7359,07-01-2023,37983,99570,-61587
462472,8350,01-10-2022,48146,99228,-51082
617415,3832,22-10-2023,32963,43060,-10097
681560,1711,09-10-2023,60670,10080,50590
376380,2398,23-12-2021,85927,65135,20792
575847,3222,30-05-2024,30966,88670,-57704
146219,8905,02-08-2022,85918,65240,20678
665108,4208,08-12-2022,3804,69775,-65971
236744,5597,14-12-2021,30071,24601,5470
553947,8953,14-10-2021,22124,92543,-70419
470810,9010,20-03-2023,29692,42236,-12544
538092,6965,28-10-2022,80819,22928,57891
933031,1308,02-11-2022,53090,30257,22833
974200,5068,22-06-2022,25577,25255,322
812624,1173,01-11-2023,66928,80716,-13788
772577,9474,01-03-2024,72844,54204,18640
733716,9353,06-01-2023,41221,3665,37556
181292,9538,03-10-2022,61601,36789,24812
122434,2193,18-04-2022,22229,66506,-44277
305342,1517,04-03-2024,10758,14168,-3410
898704,7635,13-08-2024,25499,82845,-57346
730094,9132,14-08-2022,36124,6740,29384
929413,5953,14-12-2022,71305,30941,40364
874643,4261,05-06-2023,55344,36404,18940
107534,5319,18-02-2024,36458,17150,19308
185400,5889,14-01-2024,18706,89312,-70606
541813,7530,29-12-2023,3987,89345,-85358
970303,6539,07-03-2024,62940,10081,52859
880726,5330,08-05-2023,3850,72716,-68866
891886,6205,25-09-2021,97278,92891,4387
506700,5247,05-07-2024,1078,79474,-78396
820977,6965,22-07-2022,36110,97915,-61805
560928,2623,15-02-2023,69176,52748,16428
955193,1869,21-03-2024,80136,53476,26660
983270,9322,13-06-2024,84700,14642,70058
266534,4261,08-04-2023,36520,50892,-14372
860016,2991,24-01-2022,30858,5638,25220
657053,2085,19-08-2022,49739,30931,18808
541631,1165,17-10-2021,73941,17843,56098
686810,3291,30-08-2023,33494,24742,8752
168970,8130,16-02-2024,94317,92361,1956
122043,6149,23-11-2021,16203,85830,-69627
829782,4703,18-07-2024,49816,31568,18248
340251,9470,07-02-2023,12128,82748,-70620
144388,5685,09-10-2021,1995,52829,-50834
424562,6726,18-06-2022,26474,12603,13871
840377,4059,17-10-2021,13286,39334,-26048
521236,5158,19-11-2022,30581,70366,-39785
748747,9538,18-08-2024,78607,42643,35964
865440,5336,22-01-2022,33356,39354,-5998
970986,4798,09-05-2023,38947,88980,-50033
307679,8516,26-03-2023,28545,74271,-45726
486858,8725,13-09-2024,44412,59215,-14803
679719,3572,17-09-2024,76768,80365,-3597
522222,6324,20-03-2023,86355,57221,29134
983860,6115,29-12-2022,13250,91494,-78244
919026,7818,09-03-2024,25049,13655,11394
163988,4950,24-05-2023,17080,29832,-12752
813873,5966,05-04-2023,94733,38656,56077
575899,4811,03-01-2022,56702,78197,-21495
283144,9644,13-06-2024,71443,2476,68967
854571,1302,04-03-2022,86189,44259,41930
540663,8999,14-07-2022,13631,3546,10085
231826,3023,27-03-2023,26283,5308,20975
736532,4309,25-01-2024,48595,76963,-28368
501703,1537,13-12-2021,29221,34956,-5735
789851,2085,31-08-2022,33706,15184,18522
911384,2192,19-01-2022,86947,20563,66384
807853,9010,20-07-2023,6024,59130,-53106
673889,7771,04-08-2022,96203,3420,92783
504863,3023,13-02-2024,13045,34547,-21502
924621,1902,25-11-2021,63012,50752,12260
308068,5853,03-07-2024,83585,4708,78877
779097,4461,29-09-2021,10046,47635,-37589
822186,1396,31-03-2024,95482,42376,53106
251872,2939,24-02-2023,10667,58442,-47775
898004,6539,22-12-2021,15541,4603,10938
993342,1250,27-11-2023,50353,50908,-555
391132,4889,04-07-2022,22597,25022,-2425
265747,2251,04-12-2022,16852,75156,-58304
856512,8797,06-02-2024,72363,18604,53759
250505,3015,30-05-2023,49884,96603,-46719
708307,6726,20-03-2023,9217,78162,-68945
705999,2105,07-10-2022,36148,15563,20585
357296,6541,21-01-2024,48662,68593,-19931
117681,6965,02-12-2021,10054,97207,-87153
974284,9327,24-06-2024,90966,87357,3609
296968,7072,08-08-2024,10879,56021,-45142
414473,3015,10-08-2022,17591,41329,-23738
933381,4309,27-07-2023,46376,82534,-36158
128645,2902,16-11-2022,45040,63074,-18034
685434,3934,01-07-2022,33328,26589,6739
582858,5770,02-03-2024,29914,53041,-23127
270811,4574,24-03-2024,46038,7523,38515
937599,6332,20-12-2022,94209,52441,41768
104864,7263,19-09-2022,96783,90030,6753
863599,7771,18-06-2024,96896,46501,50395
952261,5459,17-11-2023,43644,54324,-10680
121832,9981,09-03-2024,5353,31150,-25797
596855,7290,14-03-2022,48798,44092,4706
843551,8582,07-07-2024,78575,33877,44698
187176,2672,09-06-2024,93889,21792,72097
677782,5071,15-03-2022,76225,85471,-9246
142155,1711,31-10-2021,23719,19072,4647
611458,7239,02-02-2024,98712,77975,20737
825187,8968,07-09-2022,41138,19969,21169
396466,7810,29-05-2024,45711,75164,-29453
743702,1732,06-07-2024,14784,48476,-33692
642706,1504,11-05-2022,23152,74163,-51011
779161,7290,19-01-2022,86258,4576,81682
368255,7204,29-12-2021,80499,31414,49085
445682,8011,30-05-2024,61862,66392,-4530
737140,4703,09-11-2023,96280,9467,86813
534969,2902,26-12-2023,83516,41284,42232
342482,8218,01-05-2023,11613,44174,-32561
431969,9841,20-03-2024,54144,5864,48280
887853,9787,22-03-2023,37889,88500,-50611
913434,5247,25-11-2023,2912,5884,-2972
790439,3712,09-12-2021,85436,59306,26130
665155,4198,02-12-2021,46880,92880,-46000
264534,4950,23-01-2023,54362,17112,37250
127501,8992,22-06-2023,97994,55832,42162
624735,9951,24-02-2023,79965,24243,55722
867475,2868,26-06-2023,41706,48582,-6876
258488,8218,11-10-2021,87163,25487,61676
360093,9309,07-07-2023,75736,29450,46286
446426,4574,16-11-2023,13906,96388,-82482
543027,8026,26-01-2022,22928,16330,6598
264140,2901,31-10-2022,59279,42097,17182
483757,2982,08-01-2022,80331,13727,66604
429690,7530,05-06-2023,94775,65732,29043
787297,6371,05-03-2024,75680,54314,21366
530554,9023,20-02-2023,74563,40776,33787
233219,9943,25-10-2023,87671,69618,18053
694760,1118,10-05-2022,44623,66201,-21578
415504,4086,20-12-2023,8812,51781,-42969
539047,1768,26-04-2024,99530,50405,49125
571687,2745,12-01-2023,23131,76796,-53665
262371,9865,07-01-2024,15375,80028,-64653
559508,2288,07-02-2022,1030,98298,-97268
159201,8968,10-11-2023,6768,68144,-61376
370595,3030,03-07-2024,98415,42812,55603
155848,9865,09-12-2023,54462,47068,7394
950056,9322,16-03-2023,75773,53388,22385
508571,6690,29-10-2022,17423,9085,8338
927589,5180,23-11-2021,19977,14419,5558
592164,7898,01-08-2022,35021,4661,30360
768453,2821,10-06-2024,93386,58593,34793
176714,8357,24-10-2023,30922,71589,-40667
759980,4208,06-11-2022,21467,33746,-12279
451762,4461,10-01-2022,98461,16707,81754
661539,3692,12-02-2023,43686,23295,20391
937062,4532,21-08-2024,32668,5439,27229
185683,1063,13-10-2021,7069,1800,5269
364104,9435,24-02-2023,31791,56000,-24209
582084,5385,04-03-2022,31797,54615,-22818
988178,4237,30-12-2022,90191,53521,36670
768258,2230,18-09-2022,57373,55834,1539
883428,8817,21-04-2022,29454,42034,-12580
970328,1750,03-01-2024,77959,50829,27130
874282,3051,10-12-2021,58522,10549,47973
374845,3887,01-06-2023,98482,38365,60117
965201,7415,12-10-2023,86496,88234,-1738
357396,6379,14-04-2022,3229,82203,-78974
876242,7510,28-12-2021,47137,20413,26724
499516,6016,22-04-2023,78209,78615,-406
299582,3022,11-06-2022,81230,70981,10249
631863,9981,01-02-2022,11424,11821,-397
120583,9248,23-09-2024,76329,99076,-22747
205605,4798,12-01-2024,73060,66814,6246
644605,2215,13-09-2022,35215,12349,22866
873984,4237,23-07-2024,81297,46102,35195
746139,4059,22-03-2023,30535,26459,4076
546484,7680,06-03-2022,5347,32814,-27467
915201,2288,17-07-2023,67880,86456,-18576
448965,8357,25-07-2024,97462,33061,64401
586027,4676,30-07-2022,35360,67616,-32256
695202,4676,16-09-2023,39643,93216,-53573
477217,3308,22-07-2022,53277,97669,-44392
423193,3828,03-09-2022,44160,8730,35430
551368,5328,16-06-2024,81582,84287,-2705
708305,7635,20-08-2023,78700,55430,23270
870504,8357,31-07-2022,73730,37289,36441
857126,4177,09-04-2024,79535,23498,56037
681234,2217,11-09-2022,68930,88527,-19597
835529,3144,03-02-2022,45441,82388,-36947
626760,1341,16-04-2024,25173,62060,-36887
604221,1208,23-03-2024,43154,67585,-24431
356422,6821,23-06-2022,77847,15559,62288
529826,7818,15-06-2024,7656,32298,-24642
549675,9128,16-02-2024,35695,36152,-457
933892,8030,13-05-2022,28712,78553,-49841
429787,9787,20-07-2023,58590,37301,21289
818882,5953,11-07-2023,25014,48269,-23255
255063,1063,04-08-2022,71474,1492,69982
691611,5382,19-01-2022,23322,30688,-7366
389426,2176,28-04-2024,70905,88533,-17628
728133,7510,28-11-2022,65682,74537,-8855
777508,6352,13-12-2021,49218,2197,47021
616506,3851,20-02-2024,99110,48219,50891
124454,6688,14-06-2022,26962,87973,-61011
838455,8905,25-12-2021,29628,25917,3711
601922,4663,20-11-2021,37502,12155,25347
875102,1008,04-08-2022,4657,59057,-54400
397572,6691,11-07-2022,31294,12213,19081
397553,2398,15-08-2024,41964,98886,-56922
389801,8218,12-04-2022,78796,7261,71535
417407,8469,12-11-2022,85488,19548,65940
411470,9128,28-10-2021,51961,1910,50051
540383,2857,02-09-2022,15013,64260,-49247
260764,4100,28-11-2023,89974,15921,74053
699118,9207,09-05-2023,21300,26785,-5485
115254,9731,23-07-2023,29060,38438,-9378
781997,2450,23-04-2023,63013,41660,21353
888711,9116,19-05-2022,91127,88666,2461
138700,6290,03-11-2022,8726,35309,-26583
569854,6452,18-10-2022,27008,9200,17808
649070,2408,03-07-2024,99823,11338,88485
290483,8218,12-05-2022,19294,31755,-12461
946483,8740,12-01-2023,72396,54485,17911
822997,4237,10-04-2022,7706,4352,3354
279813,8970,20-10-2023,56440,65428,-8988
511744,6759,20-05-2023,38765,22274,16491
519259,7470,21-02-2022,50094,56187,-6093
146360,4689,01-10-2021,53365,4274,49091
365700,8992,01-05-2023,40268,22073,18195
218335,3326,10-10-2022,68093,43500,24593
868859,7359,13-07-2023,26088,11546,14542
685635,7166,24-09-2024,75536,80897,-5361
907103,5965,03-04-2024,99122,69457,29665
450731,1537,26-11-2023,24727,63606,-38879
596072,4896,01-11-2021,95007,40641,54366
666894,1768,10-01-2023,47981,40809,7172
721076,2176,11-02-2022,78052,32540,45512
135942,4227,01-05-2022,93019,44666,48353
347292,8350,30-11-2023,93999,35140,58859
210293,9060,01-05-2022,43934,12888,31046
275056,7401,09-07-2022,46841,46308,533
422837,9010,06-03-2022,46674,16163,30511
968410,8992,30-05-2023,98068,55191,42877
645571,1148,29-07-2024,4212,77108,-72896
453380,7359,16-06-2023,80589,56444,24145
685787,6965,26-10-2021,13473,84016,-70543
677114,4606,15-07-2022,15806,51627,-35821
723446,9055,21-06-2022,20053,42417,-22364
495975,8462,11-11-2023,89441,43253,46188
528427,1880,12-03-2022,14933,51744,-36811
782585,1948,12-05-2023,88858,39685,49173
378087,3326,14-03-2022,81532,23182,58350
577165,1808,09-11-2021,55356,61765,-6409
930013,8797,20-02-2024,81491,2830,78661
217848,7501,28-09-2023,62099,98667,-36568
